n,Mn
2.360000000000000000e+02,3.247887363434158488e+02
2.370000000000000000e+02,3.247887412921251098e+02
2.380000000000000000e+02,3.247904636689411859e+02
2.390000000000000000e+02,3.247905752367826153e+02
2.400000000000000000e+02,3.247905752368703247e+02
2.410000000000000000e+02,3.247907820117724214e+02
2.420000000000000000e+02,3.247908320253679904e+02
2.430000000000000000e+02,3.247909414395258523e+02
2.440000000000000000e+02,3.247911567068169916e+02
2.450000000000000000e+02,3.247912050033775131e+02
2.460000000000000000e+02,3.247912050037561471e+02
2.470000000000000000e+02,3.247941998768192207e+02
2.480000000000000000e+02,3.247942101732875244e+02
2.490000000000000000e+02,3.247942101736928748e+02
2.500000000000000000e+02,3.247942597702784155e+02
2.510000000000000000e+02,3.247943760373432269e+02
2.520000000000000000e+02,3.247944785705559525e+02
2.530000000000000000e+02,3.247944849427885856e+02
2.540000000000000000e+02,3.247945502715238604e+02
2.550000000000000000e+02,3.247945502719845763e+02
2.560000000000000000e+02,3.257225396690545267e+02
2.570000000000000000e+02,3.274069653360330676e+02
2.580000000000000000e+02,3.274069653363843031e+02
2.590000000000000000e+02,3.274073203594171559e+02
2.600000000000000000e+02,3.274090132501521566e+02
2.610000000000000000e+02,3.274106653795886928e+02
2.620000000000000000e+02,3.274130948874012574e+02
2.630000000000000000e+02,3.274134304860435236e+02
2.640000000000000000e+02,3.274134304866812499e+02
2.650000000000000000e+02,3.274136365569265195e+02
2.660000000000000000e+02,3.274139269246301751e+02
2.670000000000000000e+02,3.274139366184646747e+02
2.680000000000000000e+02,3.274139577389388478e+02
2.690000000000000000e+02,3.274139914756962071e+02
2.700000000000000000e+02,3.274139914757041083e+02
2.710000000000000000e+02,3.274139907594753822e+02
2.720000000000000000e+02,3.274139898966997748e+02
2.730000000000000000e+02,3.274139898975280971e+02
2.740000000000000000e+02,3.274140033755946888e+02
2.750000000000000000e+02,3.274140035852585697e+02
2.760000000000000000e+02,3.274140035860373246e+02
2.770000000000000000e+02,3.274140321873967423e+02
2.780000000000000000e+02,3.274140326894651594e+02
2.790000000000000000e+02,3.274140326900144942e+02
2.800000000000000000e+02,3.274163326585579625e+02
2.810000000000000000e+02,3.274164061281577460e+02
2.820000000000000000e+02,3.274164061286310812e+02
2.830000000000000000e+02,3.274207527828902471e+02
2.840000000000000000e+02,3.274207915355764840e+02
2.850000000000000000e+02,3.274208050626540398e+02
2.860000000000000000e+02,3.274218513317475754e+02
2.870000000000000000e+02,3.274222030029291091e+02
2.880000000000000000e+02,3.274222030030437622e+02
2.890000000000000000e+02,3.274222222095939969e+02
2.900000000000000000e+02,3.274224879663069601e+02
2.910000000000000000e+02,3.274225032230198167e+02
2.920000000000000000e+02,3.274225051594289653e+02
2.930000000000000000e+02,3.274225466021437683e+02
2.940000000000000000e+02,3.274225466028138953e+02
2.950000000000000000e+02,3.274225601317186261e+02
2.960000000000000000e+02,3.274225869932154751e+02
2.970000000000000000e+02,3.274225869937569087e+02
2.980000000000000000e+02,3.274227921746626180e+02
2.990000000000000000e+02,3.274230088909239385e+02
3.000000000000000000e+02,3.274230122829655443e+02
3.010000000000000000e+02,3.274230495528517508e+02
3.020000000000000000e+02,3.274230781335654115e+02
3.030000000000000000e+02,3.274230781342566843e+02
3.040000000000000000e+02,3.279153056777017241e+02
3.050000000000000000e+02,3.295810493915387838e+02
3.060000000000000000e+02,3.295810493917419990e+02
3.070000000000000000e+02,3.295810790120504521e+02
3.080000000000000000e+02,3.295811029760885162e+02
3.090000000000000000e+02,3.295811029762240310e+02
3.100000000000000000e+02,3.295811173996813181e+02
3.110000000000000000e+02,3.295811533065926255e+02
3.120000000000000000e+02,3.295811533073435271e+02
3.130000000000000000e+02,3.295839947179291016e+02
3.140000000000000000e+02,3.295846048324445974e+02
3.150000000000000000e+02,3.295856775108406396e+02
3.160000000000000000e+02,3.295856879330570450e+02
3.170000000000000000e+02,3.295861257547791183e+02
3.180000000000000000e+02,3.295861257550256482e+02
3.190000000000000000e+02,3.630902063715464578e+02
3.200000000000000000e+02,3.914715672821517956e+02
3.210000000000000000e+02,4.250403012052608460e+02
3.220000000000000000e+02,4.285199479336981767e+02
3.230000000000000000e+02,4.554195462087264445e+02
3.240000000000000000e+02,4.554195462093828723e+02
3.250000000000000000e+02,4.554196381374019893e+02
3.260000000000000000e+02,4.554196757859411946e+02
3.270000000000000000e+02,4.554197924457924387e+02
3.280000000000000000e+02,4.554198196764554609e+02
3.290000000000000000e+02,4.554198375463987531e+02
3.300000000000000000e+02,4.554198375471102622e+02
3.310000000000000000e+02,4.554203353665257623e+02
3.320000000000000000e+02,4.554213367097331115e+02
3.330000000000000000e+02,4.554213367104147210e+02
3.340000000000000000e+02,4.555387382873980187e+02
3.350000000000000000e+02,4.558271161723419596e+02
3.360000000000000000e+02,4.564950938580343518e+02
3.370000000000000000e+02,4.565190031285248438e+02
3.380000000000000000e+02,4.565968466336897791e+02
3.390000000000000000e+02,4.565968466345174193e+02
3.400000000000000000e+02,4.565968562705693330e+02
3.410000000000000000e+02,4.566016514846532459e+02
3.420000000000000000e+02,4.566063128850785233e+02
3.430000000000000000e+02,4.566085741093535830e+02
3.440000000000000000e+02,4.566086391502460629e+02
3.450000000000000000e+02,4.566086391508134739e+02
3.460000000000000000e+02,4.566086398416853172e+02
