n,blue,red
4.000000000000000000e+01,1.977130153989973410e-02,1.266134793471389575e-01
4.100000000000000000e+01,1.977104979249603295e-02,1.266134793471385966e-01
4.200000000000000000e+01,1.976759119550786439e-02,1.108468573382468680e-01
4.300000000000000000e+01,1.976758880689466480e-02,1.108468573382467431e-01
4.400000000000000000e+01,1.918170840982250450e-02,1.108468573382426353e-01
4.500000000000000000e+01,1.810267086914094450e-02,1.041581542175646496e-01
4.600000000000000000e+01,1.810266976400225561e-02,1.041581542175646496e-01
4.700000000000000000e+01,1.810266322401970704e-02,1.041581542175646080e-01
4.800000000000000000e+01,1.810265840247509903e-02,1.041581542175643860e-01
4.900000000000000000e+01,1.810265757914672133e-02,1.041581542175643860e-01
5.000000000000000000e+01,1.810264355118657367e-02,1.041581542175643721e-01
5.100000000000000000e+01,1.810261360669224509e-02,9.373249943901751369e-02
5.200000000000000000e+01,1.810261008287111090e-02,9.373249943901677816e-02
5.300000000000000000e+01,1.810125583766371282e-02,9.373249943901670878e-02
5.400000000000000000e+01,1.805116479587624487e-02,9.016994477888576331e-02
5.500000000000000000e+01,1.805116204145257308e-02,9.016994477888570780e-02
5.600000000000000000e+01,1.804935101282632154e-02,9.016994477888570780e-02
5.700000000000000000e+01,1.794528331302373478e-02,8.516603478503104174e-02
5.800000000000000000e+01,1.794528264079553459e-02,8.516603478503093072e-02
5.900000000000000000e+01,1.794528156502642191e-02,8.516603478503086133e-02
6.000000000000000000e+01,1.794526160847938548e-02,8.516603478503077806e-02
6.100000000000000000e+01,1.794525911837810059e-02,8.516603478503073643e-02
6.200000000000000000e+01,1.794525473420046507e-02,8.516603478503068092e-02
6.300000000000000000e+01,1.794525456244765171e-02,8.378818007272066659e-02
6.400000000000000000e+01,1.794525434449606785e-02,8.378818007272051394e-02
6.500000000000000000e+01,1.793628874341848117e-02,8.378818007272040291e-02
6.600000000000000000e+01,1.791685305575794335e-02,8.287712352567502827e-02
6.700000000000000000e+01,1.791685005588493362e-02,8.287712352567486174e-02
6.800000000000000000e+01,1.758137245085955244e-02,8.287712352567405683e-02
6.900000000000000000e+01,1.630612849590741889e-02,7.572282726154054566e-02
7.000000000000000000e+01,1.630612774889878686e-02,7.572282726154049015e-02
7.100000000000000000e+01,1.630539472666862541e-02,7.572282726154037913e-02
7.200000000000000000e+01,1.629154561770823281e-02,6.978630182465039855e-02
7.300000000000000000e+01,1.629154532131011843e-02,6.978630182465024590e-02
7.400000000000000000e+01,1.629154490777153311e-02,6.978630182465024590e-02
7.500000000000000000e+01,1.629154251200046893e-02,6.978630182465012100e-02
7.600000000000000000e+01,1.629154251194890601e-02,6.978630182465009324e-02
7.700000000000000000e+01,1.629153039854591353e-02,6.978630182465003773e-02
7.800000000000000000e+01,1.629152198871793369e-02,6.707453036776858668e-02
7.900000000000000000e+01,1.629152157131208076e-02,6.707453036776848954e-02
8.000000000000000000e+01,1.628691414695813272e-02,6.707453036776835076e-02
8.100000000000000000e+01,1.628432728301431459e-02,6.418665252374530783e-02
8.200000000000000000e+01,1.628432239231943079e-02,6.418665252374516905e-02
8.300000000000000000e+01,1.601047883546863337e-02,6.418665252374401720e-02
8.400000000000000000e+01,1.556250007065201543e-02,5.865180309609421133e-02
8.500000000000000000e+01,1.556249693335159251e-02,5.865180309609413500e-02
8.600000000000000000e+01,1.556232777708681063e-02,5.865180309609399623e-02
8.700000000000000000e+01,1.555834629043547322e-02,5.755707085032710224e-02
8.800000000000000000e+01,1.555834281544170306e-02,5.755707085032703285e-02
8.900000000000000000e+01,1.555834141267691852e-02,5.755707085032702591e-02
9.000000000000000000e+01,1.555833586951604550e-02,5.755707085032694265e-02
9.100000000000000000e+01,1.555833218788067393e-02,5.755707085032678305e-02
9.200000000000000000e+01,1.555832941844487345e-02,5.755707085032678305e-02
9.300000000000000000e+01,1.555832834416352554e-02,5.108348312269834351e-02
9.400000000000000000e+01,1.555832723023699120e-02,5.108348312269808678e-02
9.500000000000000000e+01,1.543068000182291725e-02,5.108348312269634511e-02
9.600000000000000000e+01,1.488431801747610445e-02,5.092307279346162258e-02
9.700000000000000000e+01,1.488431354640426182e-02,5.092307279346159482e-02
9.800000000000000000e+01,1.488406908888812406e-02,5.092307279346151155e-02
9.900000000000000000e+01,1.488192116171153240e-02,4.787536967380124492e-02
1.000000000000000000e+02,1.488191982024979904e-02,4.787536967380119635e-02
