n,Mn
9.100000000000000000e+01,1.357954737838099923e+01
9.200000000000000000e+01,1.358659039553217518e+01
9.300000000000000000e+01,1.359281655684467793e+01
9.400000000000000000e+01,1.359955866095609345e+01
9.500000000000000000e+01,1.360552160035863700e+01
9.600000000000000000e+01,1.361198162981014725e+01
9.700000000000000000e+01,1.361769765751532368e+01
9.800000000000000000e+01,1.362389291385064816e+01
9.900000000000000000e+01,1.362937702260336081e+01
1.000000000000000000e+02,1.363532342357608584e+01
1.010000000000000000e+02,1.364058941912745304e+01
1.020000000000000000e+02,1.364630163409890073e+01
1.030000000000000000e+02,1.365136224942005327e+01
1.040000000000000000e+02,1.365685381911122853e+01
1.050000000000000000e+02,1.366172081691549955e+01
1.060000000000000000e+02,1.366700425995929358e+01
1.070000000000000000e+02,1.367168852314370753e+01
1.080000000000000000e+02,1.367677543012015384e+01
1.090000000000000000e+02,1.368128704246790406e+01
1.100000000000000000e+02,1.368618816049824538e+01
1.110000000000000000e+02,1.369053647859888301e+01
1.120000000000000000e+02,1.369526178670572314e+01
1.130000000000000000e+02,1.369945550366632325e+01
1.140000000000000000e+02,1.370401427987577314e+01
1.150000000000000000e+02,1.370806148385720391e+01
1.160000000000000000e+02,1.371246236563414733e+01
1.170000000000000000e+02,1.371637059110638646e+01
1.180000000000000000e+02,1.372062162939458752e+01
1.190000000000000000e+02,1.372439790363403311e+01
1.200000000000000000e+02,1.372850661216607193e+01
1.210000000000000000e+02,1.373215749718323409e+01
1.220000000000000000e+02,1.373613089626825712e+01
1.230000000000000000e+02,1.373966252638182084e+01
1.240000000000000000e+02,1.374350718297126761e+01
1.250000000000000000e+02,1.374692529990907985e+01
1.260000000000000000e+02,1.375064736270075016e+01
1.270000000000000000e+02,1.375395734523076108e+01
1.280000000000000000e+02,1.375756257834473750e+01
1.290000000000000000e+02,1.376076947160252217e+01
1.300000000000000000e+02,1.376426328374305719e+01
1.310000000000000000e+02,1.376737182415759442e+01
1.320000000000000000e+02,1.377075929643751984e+01
1.330000000000000000e+02,1.377377393484644585e+01
1.340000000000000000e+02,1.377705984286568430e+01
1.350000000000000000e+02,1.377998476571554498e+01
1.360000000000000000e+02,1.378317360505681322e+01
1.370000000000000000e+02,1.378601275413403471e+01
1.380000000000000000e+02,1.378910875853422979e+01
1.390000000000000000e+02,1.379186584821857942e+01
1.400000000000000000e+02,1.379487300871197242e+01
1.410000000000000000e+02,1.379755154180959842e+01
1.420000000000000000e+02,1.380047362515624876e+01
1.430000000000000000e+02,1.380307690877651616e+01
1.440000000000000000e+02,1.380591747111777678e+01
1.450000000000000000e+02,1.380844862904283055e+01
1.460000000000000000e+02,1.381121103127657967e+01
1.470000000000000000e+02,1.381367301701513384e+01
1.480000000000000000e+02,1.381636043831394289e+01
1.490000000000000000e+02,1.381875604672861080e+01
1.500000000000000000e+02,1.382137149626418449e+01
1.510000000000000000e+02,1.382370337332487509e+01
1.520000000000000000e+02,1.382624970110371976e+01
1.530000000000000000e+02,1.382852035435995752e+01
1.540000000000000000e+02,1.383100026283482897e+01
1.550000000000000000e+02,1.383321206985935525e+01
1.560000000000000000e+02,1.383562812184961111e+01
1.570000000000000000e+02,1.383778333898468205e+01
1.580000000000000000e+02,1.384013796708214805e+01
1.590000000000000000e+02,1.384223873725446197e+01
1.600000000000000000e+02,1.384453425351020606e+01
1.610000000000000000e+02,1.384658261225030706e+01
1.620000000000000000e+02,1.384882121218458906e+01
1.630000000000000000e+02,1.385081909507299969e+01
1.640000000000000000e+02,1.385300286835906647e+01
1.650000000000000000e+02,1.385495211743094401e+01
1.660000000000000000e+02,1.385708305207902491e+01
1.670000000000000000e+02,1.385898541970272468e+01
1.680000000000000000e+02,1.386106540927988817e+01
1.690000000000000000e+02,1.386292256596654049e+01
1.700000000000000000e+02,1.386495341436900652e+01
1.710000000000000000e+02,1.386676695149838423e+01
1.720000000000000000e+02,1.386875037896163931e+01
1.730000000000000000e+02,1.387052181462970246e+01
1.740000000000000000e+02,1.387245946127654150e+01
1.750000000000000000e+02,1.387419024340186091e+01
1.760000000000000000e+02,1.387608367503269946e+01
1.770000000000000000e+02,1.387777518667297905e+01
1.780000000000000000e+02,1.387962589973494687e+01
1.790000000000000000e+02,1.388127946065904617e+01
1.800000000000000000e+02,1.388308888238395156e+01
1.810000000000000000e+02,1.388470575541874830e+01
1.820000000000000000e+02,1.388647525190262755e+01
1.830000000000000000e+02,1.388805664400892681e+01
1.840000000000000000e+02,1.388978752139819584e+01
1.850000000000000000e+02,1.389133458669980925e+01
1.860000000000000000e+02,1.389302809480553336e+01
1.870000000000000000e+02,1.389454193857468134e+01
1.880000000000000000e+02,1.389619927442990566e+01
1.890000000000000000e+02,1.389768095386674851e+01
1.900000000000000000e+02,1.389930326343668909e+01
1.910000000000000000e+02,1.390075379326988880e+01
1.920000000000000000e+02,1.390234217392088212e+01
1.930000000000000000e+02,1.390376252613879871e+01
1.940000000000000000e+02,1.390531803104487274e+01
1.950000000000000000e+02,1.390670913595484492e+01
1.960000000000000000e+02,1.390823277556646786e+01
1.970000000000000000e+02,1.390959552726250870e+01
1.980000000000000000e+02,1.391108826891852246e+01
1.990000000000000000e+02,1.391242352541697080e+01
2.000000000000000000e+02,1.391388629967992330e+01
2.010000000000000000e+02,1.391519488326175313e+01
2.020000000000000000e+02,1.391662858315567597e+01
2.030000000000000000e+02,1.391791128621962237e+01
2.040000000000000000e+02,1.391931677036854786e+01
2.050000000000000000e+02,1.392057435173227375e+01
2.060000000000000000e+02,1.392195244389448305e+01
2.070000000000000000e+02,1.392318563389978259e+01
2.080000000000000000e+02,1.392453712628616280e+01
2.090000000000000000e+02,1.392574662808785924e+01
2.100000000000000000e+02,1.392707228286045229e+01
2.110000000000000000e+02,1.392825877207837415e+01
2.120000000000000000e+02,1.392955932374519890e+01
2.130000000000000000e+02,1.393072345055674788e+01
2.140000000000000000e+02,1.393199960503457291e+01
2.150000000000000000e+02,1.393314199524940555e+01
2.160000000000000000e+02,1.393439443152134416e+01
2.170000000000000000e+02,1.393551568905258620e+01
2.180000000000000000e+02,1.393674506210227548e+01
2.190000000000000000e+02,1.393784576596271130e+01
2.200000000000000000e+02,1.393905270685727515e+01
2.210000000000000000e+02,1.394013341796445182e+01
2.220000000000000000e+02,1.394131853636112162e+01
2.230000000000000000e+02,1.394237979451922627e+01
2.240000000000000000e+02,1.394354367549416907e+01
2.250000000000000000e+02,1.394458600000661797e+01
2.260000000000000000e+02,1.394572920847177677e+01
2.270000000000000000e+02,1.394675310172869942e+01
2.280000000000000000e+02,1.394787618455343292e+01
2.290000000000000000e+02,1.394888213120890974e+01
2.300000000000000000e+02,1.394998561411154014e+01
2.310000000000000000e+02,1.395097408166032693e+01
2.320000000000000000e+02,1.395205847375147457e+01
2.330000000000000000e+02,1.395302991304264850e+01
2.340000000000000000e+02,1.395409570430146928e+01
2.350000000000000000e+02,1.395505055338718492e+01
2.360000000000000000e+02,1.395609821955658880e+01
2.370000000000000000e+02,1.395703689806751768e+01
2.380000000000000000e+02,1.395806689699187153e+01
2.390000000000000000e+02,1.395898981115785453e+01
2.400000000000000000e+02,1.396000258511773673e+01
2.410000000000000000e+02,1.396091012910063611e+01
2.420000000000000000e+02,1.396190610627791173e+01
2.430000000000000000e+02,1.396279866200655384e+01
2.440000000000000000e+02,1.396377825947338458e+01
2.450000000000000000e+02,1.396465619535609548e+01
2.460000000000000000e+02,1.396561980989165974e+01
2.470000000000000000e+02,1.396648348025088815e+01
2.480000000000000000e+02,1.396743150076546947e+01
2.490000000000000000e+02,1.396828125302126011e+01
2.500000000000000000e+02,1.396921405667266392e+01
2.510000000000000000e+02,1.397005022160450061e+01
2.520000000000000000e+02,1.397096816898470806e+01
2.530000000000000000e+02,1.397179107165871059e+01
2.540000000000000000e+02,1.397269451543685825e+01
2.550000000000000000e+02,1.397350446756289699e+01
2.560000000000000000e+02,1.397439375164069553e+01
2.570000000000000000e+02,1.397519105849235999e+01
2.580000000000000000e+02,1.397606651106597120e+01
2.590000000000000000e+02,1.397685146472159801e+01
2.600000000000000000e+02,1.397771340674555773e+01
2.610000000000000000e+02,1.397848629057213365e+01
2.620000000000000000e+02,1.397933502925373794e+01
2.630000000000000000e+02,1.398009612217834530e+01
2.640000000000000000e+02,1.398093196215249989e+01
2.650000000000000000e+02,1.398168153107488898e+01
2.660000000000000000e+02,1.398250476222789729e+01
2.670000000000000000e+02,1.398324306592381205e+01
2.680000000000000000e+02,1.398405397256747307e+01
2.690000000000000000e+02,1.398478126321523796e+01
2.700000000000000000e+02,1.398558011882599317e+01
2.710000000000000000e+02,1.398629664059859223e+01
2.720000000000000000e+02,1.398708371225286129e+01
2.730000000000000000e+02,1.398778970567021673e+01
2.740000000000000000e+02,1.398856525162789843e+01
2.750000000000000000e+02,1.398926094436965961e+01
2.760000000000000000e+02,1.399002521706742641e+01
2.770000000000000000e+02,1.399071083209541655e+01
2.780000000000000000e+02,1.399146407452043839e+01
2.790000000000000000e+02,1.399213983011357421e+01
2.800000000000000000e+02,1.399288227970135168e+01
2.810000000000000000e+02,1.399354838782886112e+01
2.820000000000000000e+02,1.399428027403668828e+01
2.830000000000000000e+02,1.399493693917719916e+01
2.840000000000000000e+02,1.399565848781114674e+01
2.850000000000000000e+02,1.399630590953753462e+01
2.860000000000000000e+02,1.399701733526314840e+01
2.870000000000000000e+02,1.399765570701957884e+01
2.880000000000000000e+02,1.399835722369035729e+01
2.890000000000000000e+02,1.399898673290634044e+01
2.900000000000000000e+02,1.399967854528565958e+01
2.910000000000000000e+02,1.400029937573407324e+01
2.920000000000000000e+02,1.400098168221727057e+01
2.930000000000000000e+02,1.400159401224974332e+01
2.940000000000000000e+02,1.400226700961128756e+01
2.950000000000000000e+02,1.400287101413652024e+01
2.960000000000000000e+02,1.400353489048315581e+01
2.970000000000000000e+02,1.400413073763613525e+01
2.980000000000000000e+02,1.400478567833677168e+01
2.990000000000000000e+02,1.400537352957447901e+01
3.000000000000000000e+02,1.400601971130408963e+01
3.010000000000000000e+02,1.400659972804668030e+01
3.020000000000000000e+02,1.400723732632776652e+01
3.030000000000000000e+02,1.400780966404509975e+01
3.040000000000000000e+02,1.400843885073879491e+01
3.050000000000000000e+02,1.400900366344346537e+01
3.060000000000000000e+02,1.400962459821982797e+01
3.070000000000000000e+02,1.401018205368730207e+01
3.080000000000000000e+02,1.401079497185306977e+01
3.090000000000000000e+02,1.401134572525118038e+01
3.100000000000000000e+02,1.401195054409202534e+01
3.110000000000000000e+02,1.401249333257607788e+01
3.120000000000000000e+02,1.401309254168951490e+01
3.130000000000000000e+02,1.401362957399232556e+01
3.140000000000000000e+02,1.401420283057417748e+01
3.150000000000000000e+02,1.401477606666099440e+01
3.160000000000000000e+02,1.401531507129883813e+01
3.170000000000000000e+02,1.401591738162877476e+01
3.180000000000000000e+02,1.401683166923877799e+01
3.190000000000000000e+02,1.401739243082005792e+01
3.200000000000000000e+02,1.401805642782487027e+01
3.210000000000000000e+02,1.401846657602820656e+01
3.220000000000000000e+02,1.401921041428578008e+01
3.230000000000000000e+02,1.401960304969115967e+01
3.240000000000000000e+02,1.401960657879784300e+01
3.250000000000000000e+02,1.401988819830751254e+01
3.260000000000000000e+02,1.402032417731502356e+01
3.270000000000000000e+02,1.402100358668505642e+01
3.280000000000000000e+02,1.402159841325577005e+01
3.290000000000000000e+02,1.402226514566582694e+01
3.300000000000000000e+02,1.402243862541234876e+01
3.310000000000000000e+02,1.402304199931751505e+01
3.320000000000000000e+02,1.402383558256963525e+01
3.330000000000000000e+02,1.402454243667605738e+01
3.340000000000000000e+02,1.402454243905260256e+01
3.350000000000000000e+02,1.402506754620606344e+01
3.360000000000000000e+02,1.402559788579514688e+01
3.370000000000000000e+02,1.402636510347204712e+01
3.380000000000000000e+02,1.402677092562816341e+01
